,Season,Week_No,Team,Opponent,Venue,Result,Player Name,Minute,Event,X_cord,Y_cord,xGoal,Situation,Type,Assist Player,Assist Type
0,2021-2022,1,Borussia M.Gladbach,Bayern Munich,Home,Draw,Patrick Herrmann,3.0,MissedShots,0.8219999694824218,0.4879999923706055,0.0658262372016906,OpenPlay,LeftFoot,Alassane Pléa,Pass
1,2021-2022,1,Borussia M.Gladbach,Bayern Munich,Home,Draw,Alassane Pléa,9.0,Goal,0.8780000305175781,0.5570000076293945,0.3845338523387909,OpenPlay,LeftFoot,Lars Stindl,Pass
2,2021-2022,1,Borussia M.Gladbach,Bayern Munich,Home,Draw,Nico Elvedi,22.0,MissedShots,0.9009999847412108,0.514000015258789,0.0813739672303199,SetPiece,LeftFoot,,None
3,2021-2022,1,Borussia M.Gladbach,Bayern Munich,Home,Draw,Lars Stindl,29.0,MissedShots,0.7480000305175781,0.7130000305175781,0.0186387933790683,OpenPlay,LeftFoot,,BallRecovery
4,2021-2022,1,Borussia M.Gladbach,Bayern Munich,Home,Draw,Stefan Lainer,53.0,MissedShots,0.925,0.4429999923706054,0.0829091295599937,SetPiece,Head,Patrick Herrmann,Chipped
5,2021-2022,1,Borussia M.Gladbach,Bayern Munich,Home,Draw,Florian Neuhaus,54.0,SavedShot,0.9259999847412108,0.2870000076293945,0.0321291871368885,FromCorner,RightFoot,Patrick Herrmann,Cross
6,2021-2022,1,Borussia M.Gladbach,Bayern Munich,Home,Draw,Lars Stindl,69.0,SavedShot,0.805,0.5209999847412109,0.0531226657330989,OpenPlay,RightFoot,Marcus Thuram,BallTouch
7,2021-2022,1,Borussia M.Gladbach,Bayern Munich,Home,Draw,Hannes Wolf,70.0,SavedShot,0.8280000305175781,0.6229999923706054,0.0386458449065685,FromCorner,RightFoot,Nico Elvedi,Pass
8,2021-2022,1,Borussia M.Gladbach,Bayern Munich,Home,Draw,Marcus Thuram,76.0,MissedShots,0.9440000152587892,0.509000015258789,0.5566394925117493,OpenPlay,LeftFoot,Stefan Lainer,Cross
9,2021-2022,1,Borussia M.Gladbach,Bayern Munich,Home,Draw,Lars Stindl,80.0,MissedShots,0.95,0.5320000076293945,0.6226253509521484,OpenPlay,LeftFoot,Jonas Hofmann,Pass
10,2021-2022,1,Borussia M.Gladbach,Bayern Munich,Home,Draw,Keanan Bennetts,89.0,BlockedShot,0.830999984741211,0.639000015258789,0.0513207241892814,OpenPlay,RightFoot,,BallRecovery
11,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Robert Lewandowski,11.0,BlockedShot,0.874000015258789,0.5429999923706055,0.0201283451169729,OpenPlay,Head,Josip Stanisic,Aerial
12,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Robert Lewandowski,13.0,SavedShot,0.85,0.4429999923706054,0.0512002892792224,OpenPlay,RightFoot,Leon Goretzka,HeadPass
13,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Robert Lewandowski,25.0,SavedShot,0.9469999694824218,0.4720000076293945,0.5879690051078796,OpenPlay,RightFoot,Alphonso Davies,Throughball
14,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Leroy Sané,26.0,MissedShots,0.8330000305175781,0.47,0.0702310651540756,OpenPlay,LeftFoot,Alphonso Davies,Pass
15,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Leon Goretzka,31.0,BlockedShot,0.9159999847412108,0.485,0.0475567132234573,FromCorner,Head,,Aerial
16,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Josip Stanisic,36.0,SavedShot,0.9159999847412108,0.3570000076293945,0.2919949889183044,OpenPlay,RightFoot,Robert Lewandowski,Pass
17,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Josip Stanisic,36.0,SavedShot,0.9540000152587892,0.4179999923706055,0.1210125312209129,OpenPlay,LeftFoot,,Rebound
18,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Josip Stanisic,41.0,MissedShots,0.855999984741211,0.4259999847412109,0.0686769261956214,OpenPlay,RightFoot,Robert Lewandowski,Pass
19,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Robert Lewandowski,41.0,Goal,0.916999969482422,0.429000015258789,0.2259068191051483,FromCorner,RightFoot,Joshua Kimmich,Cross
20,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Leroy Sané,47.0,SavedShot,0.8019999694824219,0.32,0.0129120722413063,OpenPlay,LeftFoot,,Aerial
21,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Robert Lewandowski,51.0,SavedShot,0.9159999847412108,0.5420000076293945,0.3319125771522522,OpenPlay,Head,Leroy Sané,Cross
22,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Leroy Sané,52.0,MissedShots,0.8159999847412109,0.3379999923706054,0.0281607620418071,OpenPlay,LeftFoot,Joshua Kimmich,Chipped
23,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Alphonso Davies,57.0,SavedShot,0.9230000305175782,0.429000015258789,0.4672015607357025,OpenPlay,RightFoot,Serge Gnabry,Aerial
24,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Robert Lewandowski,59.0,SavedShot,0.9059999847412108,0.4929999923706055,0.0968796387314796,OpenPlay,RightFoot,,None
25,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Serge Gnabry,60.0,MissedShots,0.919000015258789,0.505,0.111670859158039,FromCorner,Head,Niklas Süle,Cross
26,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Dayotchanculle Upamecano,62.0,MissedShots,0.9209999847412108,0.3659999847412109,0.0195382200181484,FromCorner,Head,Joshua Kimmich,Cross
27,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Leon Goretzka,84.0,BlockedShot,0.955999984741211,0.5129999923706055,0.136649802327156,FromCorner,Head,Joshua Kimmich,Cross
28,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Dayotchanculle Upamecano,85.0,MissedShots,0.9130000305175782,0.485,0.0424745194613933,FromCorner,Head,Joshua Kimmich,BallTouch
29,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Kingsley Coman,86.0,MissedShots,0.855999984741211,0.3359999847412109,0.0533935688436031,OpenPlay,RightFoot,Jamal Musiala,Pass
30,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Leon Goretzka,87.0,BlockedShot,0.87,0.3820000076293945,0.0654772967100143,OpenPlay,RightFoot,,None
31,2021-2022,1,Bayern Munich,Borussia M.Gladbach,Away,Draw,Joshua Kimmich,94.0,MissedShots,0.860999984741211,0.515,0.1023261696100235,OpenPlay,LeftFoot,Kingsley Coman,Pass
32,2021-2022,1,Arminia Bielefeld,Freiburg,Home,Draw,Jacob Laursen,6.0,BlockedShot,0.7219999694824218,0.6719999694824219,0.0128281135112047,FromCorner,LeftFoot,,None
33,2021-2022,1,Arminia Bielefeld,Freiburg,Home,Draw,Fabian Klos,7.0,MissedShots,0.82,0.4270000076293945,0.0272902157157659,SetPiece,RightFoot,Stefan Ortega Moreno,Pass
34,2021-2022,1,Arminia Bielefeld,Freiburg,Home,Draw,Bryan Lasme,25.0,MissedShots,0.78,0.2570000076293945,0.0129194846376776,OpenPlay,RightFoot,Fabian Klos,HeadPass
35,2021-2022,1,Arminia Bielefeld,Freiburg,Home,Draw,Fabian Klos,34.0,BlockedShot,0.899000015258789,0.404000015258789,0.0222703702747821,OpenPlay,Head,Cédric Brunner,Aerial
36,2021-2022,1,Arminia Bielefeld,Freiburg,Home,Draw,Fabian Klos,45.0,BlockedShot,0.8719999694824219,0.3359999847412109,0.0550934635102748,OpenPlay,RightFoot,Fabian Kunze,Chipped
37,2021-2022,1,Arminia Bielefeld,Freiburg,Home,Draw,Masaya Okugawa,47.0,SavedShot,0.8680000305175781,0.375,0.3159120678901672,OpenPlay,RightFoot,,TakeOn
38,2021-2022,1,Arminia Bielefeld,Freiburg,Home,Draw,Masaya Okugawa,49.0,SavedShot,0.8159999847412109,0.485,0.0603957287967205,OpenPlay,LeftFoot,Alessandro Schöpf,BallTouch
39,2021-2022,1,Arminia Bielefeld,Freiburg,Home,Draw,Bryan Lasme,75.0,MissedShots,0.916999969482422,0.6229999923706054,0.0111143356189131,SetPiece,Head,Alessandro Schöpf,Aerial
40,2021-2022,1,Arminia Bielefeld,Freiburg,Home,Draw,Alessandro Schöpf,86.0,MissedShots,0.7019999694824218,0.485,0.0094766486436128,SetPiece,RightFoot,,None
41,2021-2022,1,Arminia Bielefeld,Freiburg,Home,Draw,Fabian Klos,87.0,SavedShot,0.855,0.335,0.0477315597236156,OpenPlay,LeftFoot,,None
42,2021-2022,1,Freiburg,Arminia Bielefeld,Away,Draw,Yannik Keitel,16.0,MissedShots,0.789000015258789,0.4540000152587891,0.017048517242074,FromCorner,RightFoot,,Aerial
43,2021-2022,1,Freiburg,Arminia Bielefeld,Away,Draw,Nicolas Höfler,18.0,SavedShot,0.963000030517578,0.369000015258789,0.0130123095586895,FromCorner,Head,Christian Günter,Aerial
