,Season,Week_No,Team,Opponent,Venue,Result,Player Name,Minute,Event,X_cord,Y_cord,xGoal,Situation,Type,Assist Player,Assist Type
0,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Serge Gnabry,3,Goal,0.835,0.4579999923706054,0.0622968971729278,OpenPlay,LeftFoot,Joshua Kimmich,Chipped
1,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Robert Lewandowski,4,BlockedShot,0.914000015258789,0.5659999847412109,0.4623380303382873,OpenPlay,RightFoot,Leroy Sané,Pass
2,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Jérôme Boateng,5,MissedShots,0.901999969482422,0.3279999923706054,0.0472377650439739,FromCorner,LeftFoot,,None
3,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Robert Lewandowski,12,BlockedShot,0.8519999694824218,0.3959999847412109,0.0944461300969123,OpenPlay,RightFoot,Leroy Sané,Pass
4,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Leon Goretzka,18,Goal,0.8230000305175781,0.47,0.0719761848449707,OpenPlay,RightFoot,Thomas Müller,Pass
5,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Robert Lewandowski,20,MissedShots,0.860999984741211,0.4179999923706055,0.1205211356282234,OpenPlay,LeftFoot,Leroy Sané,Pass
6,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Joshua Kimmich,23,SavedShot,0.9130000305175782,0.4270000076293945,0.5248051285743713,OpenPlay,RightFoot,Serge Gnabry,Pass
7,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Robert Lewandowski,30,Goal,0.885,0.5,0.75777667760849,Penalty,RightFoot,,Standard
8,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Leon Goretzka,40,BlockedShot,0.86,0.4779999923706055,0.3961413204669952,SetPiece,RightFoot,Serge Gnabry,Pass
9,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Niklas Süle,40,ShotOnPost,0.8580000305175781,0.3709999847412109,0.0484469942748546,SetPiece,RightFoot,,Rebound
10,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Serge Gnabry,42,MissedShots,0.8680000305175781,0.6630000305175782,0.0715634822845459,OpenPlay,LeftFoot,Thomas Müller,BallTouch
11,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Serge Gnabry,46,Goal,0.87,0.5940000152587891,0.3099085092544555,OpenPlay,LeftFoot,Leroy Sané,Pass
12,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Serge Gnabry,58,Goal,0.904000015258789,0.585,0.3659066557884216,OpenPlay,RightFoot,Leroy Sané,Pass
13,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Corentin Tolisso,62,SavedShot,0.8919999694824219,0.53,0.4941746294498443,OpenPlay,LeftFoot,Serge Gnabry,Pass
14,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Leroy Sané,62,SavedShot,0.8219999694824218,0.3370000076293945,0.0727767497301101,OpenPlay,LeftFoot,Joshua Kimmich,Chipped
15,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Serge Gnabry,64,BlockedShot,0.855999984741211,0.6780000305175782,0.0606976561248302,OpenPlay,RightFoot,Corentin Tolisso,Pass
16,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Corentin Tolisso,67,MissedShots,0.9009999847412108,0.5520000076293945,0.0572542548179626,FromCorner,Head,Joshua Kimmich,Cross
17,2020-2021,1,Bayern Munich,Schalke 04,Home,Win,Thomas Müller,68,Goal,0.875,0.5359999847412109,0.1088687106966972,OpenPlay,LeftFoot,Robert Lewandowski,Chipped
