,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
0,2018-2019,1,Bayern Munich,Manuel Neuer,GER,32,90.0,Home,Hoffenheim,Win,5,1,4,80.0,1.5,6,9,66.7,41,7,22.0,28.2,0,,,4,0,0.0,2,22.1
1,2018-2019,1,Hoffenheim,Oliver Baumann,GER,28,90.0,Away,Bayern Munich,Defeat,4,3,2,50.0,3.1,6,17,35.3,18,3,66.7,52.2,6,83.3,61.8,11,2,18.2,0,23.7
2,2018-2019,1,Düsseldorf,Michael Rensing,GER,34,90.0,Home,Augsburg,Defeat,8,2,6,75.0,1.9,3,16,18.8,32,6,28.1,32.3,7,100.0,68.6,15,0,0.0,1,15.8
3,2018-2019,1,Augsburg,Fabian Giefer,GER,28,90.0,Away,Düsseldorf,Win,5,1,4,80.0,1.5,5,11,45.5,22,4,36.4,32.6,4,75.0,59.8,10,0,0.0,0,11.0
4,2018-2019,1,Wolfsburg,Koen Casteels,BEL,26,90.0,Home,Schalke 04,Win,4,1,4,100.0,1.8,6,13,46.2,33,8,24.2,32.8,9,55.6,48.2,8,0,0.0,0,13.8
5,2018-2019,1,Schalke 04,Ralf Fährmann,GER,29,90.0,Away,Wolfsburg,Defeat,7,2,5,71.4,2.0,5,18,27.8,23,6,47.8,44.0,8,87.5,61.9,8,1,12.5,2,19.2
6,2018-2019,1,Hertha BSC,Rune Jarstein,NOR,33,90.0,Home,Nürnberg,Win,2,0,2,100.0,1.3,11,23,47.8,24,3,54.2,38.7,10,100.0,73.2,6,3,50.0,0,14.2
7,2018-2019,1,Nürnberg,Fabian Bredlow,GER,23,90.0,Away,Hertha BSC,Defeat,4,1,3,75.0,1.8,3,8,37.5,20,4,30.0,30.6,4,50.0,52.3,6,0,0.0,0,11.3
8,2018-2019,1,Werder Bremen,Jiří Pavlenka,CZE,26,90.0,Home,Hannover 96,Draw,5,1,4,80.0,1.1,5,11,45.5,14,3,42.9,36.6,5,100.0,61.8,5,0,0.0,0,13.0
9,2018-2019,1,Hannover 96,Michael Esser,GER,30,90.0,Away,Werder Bremen,Draw,3,1,2,66.7,0.8,13,21,61.9,39,1,38.5,34.1,9,66.7,48.2,14,0,0.0,2,24.7
10,2018-2019,1,Freiburg,Alexander Schwolow,GER,26,90.0,Home,Eintracht Frankfurt,Defeat,2,2,0,0.0,1.0,8,26,30.8,43,3,44.2,39.5,8,87.5,72.1,9,1,11.1,1,19.4
11,2018-2019,1,Eintracht Frankfurt,Frederik Rønnow,DEN,26,90.0,Away,Freiburg,Win,7,0,7,100.0,1.3,14,34,41.2,30,2,83.3,53.7,10,90.0,61.6,7,0,0.0,0,13.1
12,2018-2019,1,Mönchengladbach,Yann Sommer,SUI,29,90.0,Home,Bayer Leverkusen,Win,2,0,2,100.0,0.3,4,8,50.0,24,6,20.8,34.7,5,60.0,47.0,9,1,11.1,0,11.0
13,2018-2019,1,Bayer Leverkusen,Ramazan Özcan,AUT,34,90.0,Away,Mönchengladbach,Defeat,6,2,5,83.3,3.3,7,17,41.2,27,3,55.6,45.8,2,100.0,70.0,6,0,0.0,0,8.5
14,2018-2019,1,Mainz 05,Florian Müller,GER,20,90.0,Home,Stuttgart,Win,3,0,3,100.0,0.1,4,10,40.0,22,5,13.6,27.3,8,87.5,65.5,8,0,0.0,2,20.6
15,2018-2019,1,Stuttgart,Ron-Robert Zieler,GER,29,90.0,Away,Mainz 05,Defeat,3,1,2,66.7,0.9,6,29,20.7,31,1,77.4,50.5,6,83.3,70.7,8,0,0.0,0,14.5
16,2018-2019,1,Dortmund,Roman Bürki,SUI,27,90.0,Home,RB Leipzig,Win,7,1,6,85.7,1.7,7,26,26.9,23,0,60.9,47.0,15,80.0,60.1,14,0,0.0,0,8.5
17,2018-2019,1,RB Leipzig,Péter Gulácsi,HUN,28,90.0,Away,Dortmund,Defeat,5,4,2,20.0,1.9,5,8,62.5,17,4,35.3,38.2,2,100.0,75.5,5,0,0.0,1,16.5
18,2018-2019,2,Hannover 96,Michael Esser,GER,30,90.0,Home,Dortmund,Draw,3,0,3,100.0,0.5,13,28,46.4,42,3,57.1,40.5,5,80.0,52.4,3,0,0.0,1,13.6
19,2018-2019,2,Dortmund,Roman Bürki,SUI,27,90.0,Away,Hannover 96,Draw,0,0,0,,0.0,5,19,26.3,25,4,44.0,41.3,8,100.0,81.6,11,2,18.2,1,17.8
