,Season,Week_No,Team,Opponent,Venue,Distance_Covered,Sprints
62,2021-2022,4,Bayer 04 Leverkusen,Borussia Dortmund,Home,109.1,245.0
63,2021-2022,4,Borussia Dortmund,Bayer 04 Leverkusen,Away,110.5,241.0
64,2021-2022,4,RB Leipzig,FC Bayern München,Home,112.4,275.0
65,2021-2022,4,FC Bayern München,RB Leipzig,Away,116.0,255.0
66,2021-2022,4,Eintracht Frankfurt,VfB Stuttgart,Home,114.0,253.0
67,2021-2022,4,VfB Stuttgart,Eintracht Frankfurt,Away,109.2,243.0
68,2021-2022,4,VfL Bochum 1848,Hertha Berlin,Home,112.8,210.0
69,2021-2022,4,Hertha Berlin,VfL Bochum 1848,Away,117.3,191.0
70,2021-2022,4,Borussia M'gladbach,Arminia Bielefeld,Home,116.6,246.0
71,2021-2022,4,Arminia Bielefeld,Borussia M'gladbach,Away,118.6,240.0
72,2021-2022,5,Hertha Berlin,SpVgg Greuther Fürth,Home,115.0,201.0
73,2021-2022,5,SpVgg Greuther Fürth,Hertha Berlin,Away,120.2,232.0
74,2021-2022,5,Arminia Bielefeld,TSG Hoffenheim,Home,122.3,230.0
75,2021-2022,5,TSG Hoffenheim,Arminia Bielefeld,Away,120.6,231.0
76,2021-2022,5,FC Augsburg,Borussia M'gladbach,Home,115.7,205.0
77,2021-2022,5,Borussia M'gladbach,FC Augsburg,Away,112.2,193.0
78,2021-2022,5,1. FSV Mainz 05,SC Freiburg,Home,111.3,214.0
79,2021-2022,5,SC Freiburg,1. FSV Mainz 05,Away,109.3,181.0
80,2021-2022,5,FC Bayern München,VfL Bochum 1848,Home,111.6,261.0
81,2021-2022,5,VfL Bochum 1848,FC Bayern München,Away,108.6,218.0
82,2021-2022,5,1. FC Köln,RB Leipzig,Home,117.0,259.0
83,2021-2022,5,RB Leipzig,1. FC Köln,Away,113.9,254.0
84,2021-2022,5,VfB Stuttgart,Bayer 04 Leverkusen,Home,110.7,194.0
85,2021-2022,5,Bayer 04 Leverkusen,VfB Stuttgart,Away,108.2,198.0
86,2021-2022,5,Borussia Dortmund,1. FC Union Berlin,Home,111.8,198.0
87,2021-2022,5,1. FC Union Berlin,Borussia Dortmund,Away,117.6,204.0
88,2021-2022,5,VfL Wolfsburg,Eintracht Frankfurt,Home,114.4,253.0
89,2021-2022,5,Eintracht Frankfurt,VfL Wolfsburg,Away,120.8,278.0
90,2021-2022,6,SpVgg Greuther Fürth,FC Bayern München,Home,117.5,246.0
91,2021-2022,6,FC Bayern München,SpVgg Greuther Fürth,Away,108.5,225.0
92,2021-2022,6,TSG Hoffenheim,VfL Wolfsburg,Home,115.1,238.0
93,2021-2022,6,VfL Wolfsburg,TSG Hoffenheim,Away,109.9,222.0
94,2021-2022,6,1. FC Union Berlin,Arminia Bielefeld,Home,120.6,209.0
95,2021-2022,6,Arminia Bielefeld,1. FC Union Berlin,Away,121.7,236.0
96,2021-2022,6,Bayer 04 Leverkusen,1. FSV Mainz 05,Home,111.3,214.0
97,2021-2022,6,1. FSV Mainz 05,Bayer 04 Leverkusen,Away,114.4,213.0
98,2021-2022,6,Eintracht Frankfurt,1. FC Köln,Home,116.6,263.0
99,2021-2022,6,1. FC Köln,Eintracht Frankfurt,Away,117.3,226.0
100,2021-2022,6,RB Leipzig,Hertha Berlin,Home,108.6,206.0
101,2021-2022,6,Hertha Berlin,RB Leipzig,Away,103.5,169.0
102,2021-2022,6,Borussia M'gladbach,Borussia Dortmund,Home,115.1,198.0
103,2021-2022,6,Borussia Dortmund,Borussia M'gladbach,Away,105.9,191.0
104,2021-2022,6,VfL Bochum 1848,VfB Stuttgart,Home,106.4,220.0
105,2021-2022,6,VfB Stuttgart,VfL Bochum 1848,Away,106.7,228.0
106,2021-2022,6,SC Freiburg,FC Augsburg,Home,109.3,202.0
107,2021-2022,6,FC Augsburg,SC Freiburg,Away,107.8,179.0
108,2021-2022,7,1. FC Köln,SpVgg Greuther Fürth,Home,120.1,239.0
109,2021-2022,7,SpVgg Greuther Fürth,1. FC Köln,Away,120.9,231.0
110,2021-2022,7,Hertha Berlin,SC Freiburg,Home,114.4,215.0
111,2021-2022,7,SC Freiburg,Hertha Berlin,Away,115.5,230.0
112,2021-2022,7,VfB Stuttgart,TSG Hoffenheim,Home,113.6,267.0
113,2021-2022,7,TSG Hoffenheim,VfB Stuttgart,Away,113.2,211.0
114,2021-2022,7,VfL Wolfsburg,Borussia M'gladbach,Home,107.5,264.0
115,2021-2022,7,Borussia M'gladbach,VfL Wolfsburg,Away,111.3,191.0
116,2021-2022,7,Borussia Dortmund,FC Augsburg,Home,111.3,232.0
117,2021-2022,7,FC Augsburg,Borussia Dortmund,Away,114.1,263.0
118,2021-2022,7,RB Leipzig,VfL Bochum 1848,Home,116.0,235.0
119,2021-2022,7,VfL Bochum 1848,RB Leipzig,Away,112.2,258.0
120,2021-2022,7,1. FSV Mainz 05,1. FC Union Berlin,Home,114.3,207.0
121,2021-2022,7,1. FC Union Berlin,1. FSV Mainz 05,Away,119.3,179.0
122,2021-2022,7,FC Bayern München,Eintracht Frankfurt,Home,116.7,237.0
123,2021-2022,7,Eintracht Frankfurt,FC Bayern München,Away,121.6,213.0
124,2021-2022,7,Arminia Bielefeld,Bayer 04 Leverkusen,Home,118.7,244.0
125,2021-2022,7,Bayer 04 Leverkusen,Arminia Bielefeld,Away,114.0,252.0
126,2021-2022,8,TSG Hoffenheim,1. FC Köln,Home,117.5,244.0
127,2021-2022,8,1. FC Köln,TSG Hoffenheim,Away,114.0,212.0
128,2021-2022,8,SpVgg Greuther Fürth,VfL Bochum 1848,Home,116.5,255.0
129,2021-2022,8,VfL Bochum 1848,SpVgg Greuther Fürth,Away,113.1,219.0
130,2021-2022,8,SC Freiburg,RB Leipzig,Home,110.0,218.0
131,2021-2022,8,RB Leipzig,SC Freiburg,Away,106.2,202.0
132,2021-2022,8,1. FC Union Berlin,VfL Wolfsburg,Home,115.9,200.0
133,2021-2022,8,VfL Wolfsburg,1. FC Union Berlin,Away,107.7,221.0
134,2021-2022,8,Eintracht Frankfurt,Hertha Berlin,Home,115.3,234.0
135,2021-2022,8,Hertha Berlin,Eintracht Frankfurt,Away,117.7,199.0
136,2021-2022,8,Borussia Dortmund,1. FSV Mainz 05,Home,115.7,261.0
137,2021-2022,8,1. FSV Mainz 05,Borussia Dortmund,Away,118.5,238.0
138,2021-2022,8,Borussia M'gladbach,VfB Stuttgart,Home,115.9,198.0
139,2021-2022,8,VfB Stuttgart,Borussia M'gladbach,Away,115.2,238.0
140,2021-2022,8,Bayer 04 Leverkusen,FC Bayern München,Home,109.0,199.0
141,2021-2022,8,FC Bayern München,Bayer 04 Leverkusen,Away,114.7,221.0
142,2021-2022,8,FC Augsburg,Arminia Bielefeld,Home,114.9,219.0
143,2021-2022,8,Arminia Bielefeld,FC Augsburg,Away,115.2,200.0
144,2021-2022,9,1. FSV Mainz 05,FC Augsburg,Home,120.7,259.0
145,2021-2022,9,FC Augsburg,1. FSV Mainz 05,Away,116.7,239.0
146,2021-2022,9,Arminia Bielefeld,Borussia Dortmund,Home,126.7,217.0
147,2021-2022,9,Borussia Dortmund,Arminia Bielefeld,Away,119.1,237.0
148,2021-2022,9,VfL Wolfsburg,SC Freiburg,Home,115.3,247.0
149,2021-2022,9,SC Freiburg,VfL Wolfsburg,Away,117.6,244.0
150,2021-2022,9,RB Leipzig,SpVgg Greuther Fürth,Home,114.3,235.0
151,2021-2022,9,SpVgg Greuther Fürth,RB Leipzig,Away,116.6,240.0
152,2021-2022,9,FC Bayern München,TSG Hoffenheim,Home,117.5,233.0
153,2021-2022,9,TSG Hoffenheim,FC Bayern München,Away,117.2,267.0
154,2021-2022,9,Hertha Berlin,Borussia M'gladbach,Home,121.7,203.0
155,2021-2022,9,Borussia M'gladbach,Hertha Berlin,Away,116.4,209.0
156,2021-2022,9,1. FC Köln,Bayer 04 Leverkusen,Home,116.6,235.0
157,2021-2022,9,Bayer 04 Leverkusen,1. FC Köln,Away,114.5,239.0
158,2021-2022,9,VfB Stuttgart,1. FC Union Berlin,Home,111.0,213.0
159,2021-2022,9,1. FC Union Berlin,VfB Stuttgart,Away,119.1,195.0
160,2021-2022,9,VfL Bochum 1848,Eintracht Frankfurt,Home,116.1,237.0
161,2021-2022,9,Eintracht Frankfurt,VfL Bochum 1848,Away,119.3,230.0
162,2021-2022,10,TSG Hoffenheim,Hertha Berlin,Home,121.6,242.0
163,2021-2022,10,Hertha Berlin,TSG Hoffenheim,Away,119.7,256.0
164,2021-2022,10,Arminia Bielefeld,1. FSV Mainz 05,Home,118.2,225.0
165,2021-2022,10,1. FSV Mainz 05,Arminia Bielefeld,Away,116.4,217.0
166,2021-2022,10,SC Freiburg,SpVgg Greuther Fürth,Home,116.1,237.0
167,2021-2022,10,SpVgg Greuther Fürth,SC Freiburg,Away,115.1,200.0
168,2021-2022,10,1. FC Union Berlin,FC Bayern München,Home,117.1,221.0
169,2021-2022,10,FC Bayern München,1. FC Union Berlin,Away,114.7,250.0
170,2021-2022,10,Bayer 04 Leverkusen,VfL Wolfsburg,Home,108.0,224.0
171,2021-2022,10,VfL Wolfsburg,Bayer 04 Leverkusen,Away,111.2,210.0
172,2021-2022,10,Borussia Dortmund,1. FC Köln,Home,119.6,267.0
173,2021-2022,10,1. FC Köln,Borussia Dortmund,Away,118.2,227.0
174,2021-2022,10,Eintracht Frankfurt,RB Leipzig,Home,118.1,229.0
175,2021-2022,10,RB Leipzig,Eintracht Frankfurt,Away,116.4,206.0
176,2021-2022,10,FC Augsburg,VfB Stuttgart,Home,114.4,246.0
177,2021-2022,10,VfB Stuttgart,FC Augsburg,Away,108.9,187.0
178,2021-2022,10,Borussia M'gladbach,VfL Bochum 1848,Home,112.0,225.0
179,2021-2022,10,VfL Bochum 1848,Borussia M'gladbach,Away,111.6,229.0
180,2021-2022,11,1. FSV Mainz 05,Borussia M'gladbach,Home,119.1,222.0
181,2021-2022,11,Borussia M'gladbach,1. FSV Mainz 05,Away,115.2,228.0
182,2021-2022,11,VfL Bochum 1848,TSG Hoffenheim,Home,118.3,269.0
183,2021-2022,11,TSG Hoffenheim,VfL Bochum 1848,Away,121.0,264.0
184,2021-2022,11,VfB Stuttgart,Arminia Bielefeld,Home,121.2,223.0
185,2021-2022,11,Arminia Bielefeld,VfB Stuttgart,Away,126.4,210.0
186,2021-2022,11,VfL Wolfsburg,FC Augsburg,Home,112.8,232.0
187,2021-2022,11,FC Augsburg,VfL Wolfsburg,Away,115.4,219.0
188,2021-2022,11,FC Bayern München,SC Freiburg,Home,122.1,275.0
189,2021-2022,11,SC Freiburg,FC Bayern München,Away,125.1,310.0
190,2021-2022,11,RB Leipzig,Borussia Dortmund,Home,116.3,253.0
191,2021-2022,11,Borussia Dortmund,RB Leipzig,Away,117.1,266.0
192,2021-2022,11,Hertha Berlin,Bayer 04 Leverkusen,Home,119.3,244.0
193,2021-2022,11,Bayer 04 Leverkusen,Hertha Berlin,Away,114.0,236.0
194,2021-2022,11,1. FC Köln,1. FC Union Berlin,Home,118.2,249.0
195,2021-2022,11,1. FC Union Berlin,1. FC Köln,Away,121.7,240.0
196,2021-2022,11,SpVgg Greuther Fürth,Eintracht Frankfurt,Home,115.8,250.0
197,2021-2022,11,Eintracht Frankfurt,SpVgg Greuther Fürth,Away,116.3,260.0
198,2021-2022,12,FC Augsburg,FC Bayern München,Home,124.8,233.0
199,2021-2022,12,FC Bayern München,FC Augsburg,Away,117.8,220.0
200,2021-2022,12,Arminia Bielefeld,VfL Wolfsburg,Home,120.7,238.0
201,2021-2022,12,VfL Wolfsburg,Arminia Bielefeld,Away,113.8,222.0
202,2021-2022,12,TSG Hoffenheim,RB Leipzig,Home,115.5,256.0
203,2021-2022,12,RB Leipzig,TSG Hoffenheim,Away,112.0,257.0
204,2021-2022,12,Borussia M'gladbach,SpVgg Greuther Fürth,Home,110.2,228.0
205,2021-2022,12,SpVgg Greuther Fürth,Borussia M'gladbach,Away,112.9,217.0
206,2021-2022,12,Bayer 04 Leverkusen,VfL Bochum 1848,Home,116.2,287.0
207,2021-2022,12,VfL Bochum 1848,Bayer 04 Leverkusen,Away,116.0,294.0
208,2021-2022,12,Borussia Dortmund,VfB Stuttgart,Home,116.8,235.0
209,2021-2022,12,VfB Stuttgart,Borussia Dortmund,Away,114.3,205.0
210,2021-2022,12,1. FC Union Berlin,Hertha Berlin,Home,118.0,200.0
211,2021-2022,12,Hertha Berlin,1. FC Union Berlin,Away,116.7,206.0
212,2021-2022,12,SC Freiburg,Eintracht Frankfurt,Home,121.8,255.0
213,2021-2022,12,Eintracht Frankfurt,SC Freiburg,Away,121.3,256.0
214,2021-2022,12,1. FSV Mainz 05,1. FC Köln,Home,114.7,198.0
215,2021-2022,12,1. FC Köln,1. FSV Mainz 05,Away,113.9,208.0
216,2021-2022,13,VfB Stuttgart,1. FSV Mainz 05,Home,118.5,249.0
217,2021-2022,13,1. FSV Mainz 05,VfB Stuttgart,Away,121.0,277.0
218,2021-2022,13,SpVgg Greuther Fürth,TSG Hoffenheim,Home,120.1,287.0
219,2021-2022,13,TSG Hoffenheim,SpVgg Greuther Fürth,Away,120.4,249.0
220,2021-2022,13,VfL Bochum 1848,SC Freiburg,Home,110.9,192.0
221,2021-2022,13,SC Freiburg,VfL Bochum 1848,Away,113.0,222.0
222,2021-2022,13,1. FC Köln,Borussia M'gladbach,Home,116.4,249.0
223,2021-2022,13,Borussia M'gladbach,1. FC Köln,Away,111.2,220.0
224,2021-2022,13,Hertha Berlin,FC Augsburg,Home,119.5,232.0
225,2021-2022,13,FC Augsburg,Hertha Berlin,Away,122.4,272.0
226,2021-2022,13,VfL Wolfsburg,Borussia Dortmund,Home,112.5,235.0
227,2021-2022,13,Borussia Dortmund,VfL Wolfsburg,Away,117.6,236.0
228,2021-2022,13,FC Bayern München,Arminia Bielefeld,Home,112.9,246.0
229,2021-2022,13,Arminia Bielefeld,FC Bayern München,Away,118.9,225.0
230,2021-2022,13,Eintracht Frankfurt,1. FC Union Berlin,Home,122.4,277.0
231,2021-2022,13,1. FC Union Berlin,Eintracht Frankfurt,Away,121.6,235.0
232,2021-2022,13,RB Leipzig,Bayer 04 Leverkusen,Home,115.8,231.0
233,2021-2022,13,Bayer 04 Leverkusen,RB Leipzig,Away,115.5,231.0
234,2021-2022,14,1. FC Union Berlin,RB Leipzig,Home,114.7,199.0
235,2021-2022,14,RB Leipzig,1. FC Union Berlin,Away,110.0,248.0
236,2021-2022,14,Arminia Bielefeld,1. FC Köln,Home,119.5,258.0
237,2021-2022,14,1. FC Köln,Arminia Bielefeld,Away,117.1,236.0
238,2021-2022,14,FC Augsburg,VfL Bochum 1848,Home,120.0,310.0
239,2021-2022,14,VfL Bochum 1848,FC Augsburg,Away,115.9,252.0
240,2021-2022,14,1. FSV Mainz 05,VfL Wolfsburg,Home,110.6,255.0
241,2021-2022,14,VfL Wolfsburg,1. FSV Mainz 05,Away,103.7,240.0
242,2021-2022,14,TSG Hoffenheim,Eintracht Frankfurt,Home,118.5,207.0
243,2021-2022,14,Eintracht Frankfurt,TSG Hoffenheim,Away,117.3,240.0
244,2021-2022,14,Bayer 04 Leverkusen,SpVgg Greuther Fürth,Home,106.6,213.0
245,2021-2022,14,SpVgg Greuther Fürth,Bayer 04 Leverkusen,Away,111.3,230.0
246,2021-2022,14,Borussia Dortmund,FC Bayern München,Home,118.3,289.0
247,2021-2022,14,FC Bayern München,Borussia Dortmund,Away,117.6,270.0
248,2021-2022,14,VfB Stuttgart,Hertha Berlin,Home,110.8,195.0
249,2021-2022,14,Hertha Berlin,VfB Stuttgart,Away,117.7,200.0
250,2021-2022,14,Borussia M'gladbach,SC Freiburg,Home,103.1,200.0
251,2021-2022,14,SC Freiburg,Borussia M'gladbach,Away,110.2,208.0
252,2021-2022,15,1. FC Köln,FC Augsburg,Home,111.2,207.0
253,2021-2022,15,FC Augsburg,1. FC Köln,Away,115.3,250.0
254,2021-2022,15,VfL Bochum 1848,Borussia Dortmund,Home,115.9,238.0
255,2021-2022,15,Borussia Dortmund,VfL Bochum 1848,Away,120.2,243.0
256,2021-2022,15,Hertha Berlin,Arminia Bielefeld,Home,116.6,258.0
257,2021-2022,15,Arminia Bielefeld,Hertha Berlin,Away,119.1,258.0
258,2021-2022,15,SC Freiburg,TSG Hoffenheim,Home,116.7,214.0
259,2021-2022,15,TSG Hoffenheim,SC Freiburg,Away,118.8,211.0
260,2021-2022,15,RB Leipzig,Borussia M'gladbach,Home,110.7,266.0
261,2021-2022,15,Borussia M'gladbach,RB Leipzig,Away,107.0,247.0
262,2021-2022,15,FC Bayern München,1. FSV Mainz 05,Home,120.2,266.0
263,2021-2022,15,1. FSV Mainz 05,FC Bayern München,Away,125.4,269.0
264,2021-2022,15,VfL Wolfsburg,VfB Stuttgart,Home,115.0,250.0
265,2021-2022,15,VfB Stuttgart,VfL Wolfsburg,Away,114.9,238.0
266,2021-2022,15,SpVgg Greuther Fürth,1. FC Union Berlin,Home,125.7,201.0
267,2021-2022,15,1. FC Union Berlin,SpVgg Greuther Fürth,Away,121.3,172.0
268,2021-2022,15,Eintracht Frankfurt,Bayer 04 Leverkusen,Home,122.1,270.0
269,2021-2022,15,Bayer 04 Leverkusen,Eintracht Frankfurt,Away,115.1,272.0
270,2021-2022,16,VfB Stuttgart,FC Bayern München,Home,113.4,259.0
271,2021-2022,16,FC Bayern München,VfB Stuttgart,Away,118.3,270.0
272,2021-2022,16,Arminia Bielefeld,VfL Bochum 1848,Home,120.6,233.0
273,2021-2022,16,VfL Bochum 1848,Arminia Bielefeld,Away,114.1,214.0
274,2021-2022,16,1. FSV Mainz 05,Hertha Berlin,Home,113.1,256.0
275,2021-2022,16,Hertha Berlin,1. FSV Mainz 05,Away,109.5,209.0
276,2021-2022,16,VfL Wolfsburg,1. FC Köln,Home,111.5,259.0
277,2021-2022,16,1. FC Köln,VfL Wolfsburg,Away,111.8,241.0
278,2021-2022,16,Borussia M'gladbach,Eintracht Frankfurt,Home,114.0,218.0
279,2021-2022,16,Eintracht Frankfurt,Borussia M'gladbach,Away,113.0,205.0
280,2021-2022,16,FC Augsburg,RB Leipzig,Home,117.9,256.0
281,2021-2022,16,RB Leipzig,FC Augsburg,Away,111.3,219.0
282,2021-2022,16,1. FC Union Berlin,SC Freiburg,Home,115.5,195.0
283,2021-2022,16,SC Freiburg,1. FC Union Berlin,Away,114.5,215.0
284,2021-2022,16,Bayer 04 Leverkusen,TSG Hoffenheim,Home,121.4,267.0
285,2021-2022,16,TSG Hoffenheim,Bayer 04 Leverkusen,Away,124.7,291.0
286,2021-2022,16,Borussia Dortmund,SpVgg Greuther Fürth,Home,119.9,235.0
287,2021-2022,16,SpVgg Greuther Fürth,Borussia Dortmund,Away,119.8,205.0
288,2021-2022,17,FC Bayern München,VfL Wolfsburg,Home,113.9,257.0
289,2021-2022,17,VfL Wolfsburg,FC Bayern München,Away,111.6,199.0
290,2021-2022,17,SpVgg Greuther Fürth,FC Augsburg,Home,114.3,235.0
291,2021-2022,17,FC Augsburg,SpVgg Greuther Fürth,Away,111.3,256.0
292,2021-2022,17,VfL Bochum 1848,1. FC Union Berlin,Home,119.3,226.0
293,2021-2022,17,1. FC Union Berlin,VfL Bochum 1848,Away,120.6,195.0
294,2021-2022,17,TSG Hoffenheim,Borussia M'gladbach,Home,120.0,221.0
295,2021-2022,17,Borussia M'gladbach,TSG Hoffenheim,Away,117.6,233.0
296,2021-2022,17,Eintracht Frankfurt,1. FSV Mainz 05,Home,121.6,263.0
297,2021-2022,17,1. FSV Mainz 05,Eintracht Frankfurt,Away,121.1,262.0
298,2021-2022,17,RB Leipzig,Arminia Bielefeld,Home,113.3,186.0
299,2021-2022,17,Arminia Bielefeld,RB Leipzig,Away,117.1,212.0
300,2021-2022,17,Hertha Berlin,Borussia Dortmund,Home,118.1,234.0
301,2021-2022,17,Borussia Dortmund,Hertha Berlin,Away,114.9,220.0
302,2021-2022,17,SC Freiburg,Bayer 04 Leverkusen,Home,120.8,278.0
303,2021-2022,17,Bayer 04 Leverkusen,SC Freiburg,Away,117.7,279.0
304,2021-2022,17,1. FC Köln,VfB Stuttgart,Home,115.4,253.0
305,2021-2022,17,VfB Stuttgart,1. FC Köln,Away,113.7,242.0
306,2021-2022,18,FC Bayern München,Borussia M'gladbach,Home,122.4,270.0
307,2021-2022,18,Borussia M'gladbach,FC Bayern München,Away,121.7,235.0
308,2021-2022,18,SpVgg Greuther Fürth,VfB Stuttgart,Home,119.5,241.0
309,2021-2022,18,VfB Stuttgart,SpVgg Greuther Fürth,Away,114.1,231.0
310,2021-2022,18,TSG Hoffenheim,FC Augsburg,Home,124.7,258.0
311,2021-2022,18,FC Augsburg,TSG Hoffenheim,Away,122.1,252.0
312,2021-2022,18,SC Freiburg,Arminia Bielefeld,Home,122.5,215.0
313,2021-2022,18,Arminia Bielefeld,SC Freiburg,Away,122.1,206.0
314,2021-2022,18,Bayer 04 Leverkusen,1. FC Union Berlin,Home,114.2,280.0
315,2021-2022,18,1. FC Union Berlin,Bayer 04 Leverkusen,Away,119.6,248.0
316,2021-2022,18,RB Leipzig,1. FSV Mainz 05,Home,110.9,232.0
317,2021-2022,18,1. FSV Mainz 05,RB Leipzig,Away,103.9,189.0
318,2021-2022,18,Eintracht Frankfurt,Borussia Dortmund,Home,123.8,242.0
319,2021-2022,18,Borussia Dortmund,Eintracht Frankfurt,Away,123.2,263.0
320,2021-2022,18,Hertha Berlin,1. FC Köln,Home,116.7,252.0
321,2021-2022,18,1. FC Köln,Hertha Berlin,Away,117.3,290.0
322,2021-2022,18,VfL Bochum 1848,VfL Wolfsburg,Home,114.6,212.0
323,2021-2022,18,VfL Wolfsburg,VfL Bochum 1848,Away,118.7,233.0
324,2021-2022,19,Borussia Dortmund,SC Freiburg,Home,113.6,246.0
325,2021-2022,19,SC Freiburg,Borussia Dortmund,Away,114.9,224.0
326,2021-2022,19,1. FC Köln,FC Bayern München,Home,115.5,278.0
327,2021-2022,19,FC Bayern München,1. FC Köln,Away,118.3,280.0
328,2021-2022,19,1. FSV Mainz 05,VfL Bochum 1848,Home,118.9,282.0
329,2021-2022,19,VfL Bochum 1848,1. FSV Mainz 05,Away,114.4,222.0
330,2021-2022,19,VfB Stuttgart,RB Leipzig,Home,113.0,217.0
331,2021-2022,19,RB Leipzig,VfB Stuttgart,Away,113.6,209.0
332,2021-2022,19,1. FC Union Berlin,TSG Hoffenheim,Home,119.7,223.0
