,Season,Week_No,Team,Opponent,Venue,Distance_Covered,Sprints
0,2021-2022,1,Borussia Mönchengladbach,FC Bayern München,Home,121.8,229.0
1,2021-2022,1,FC Bayern München,Borussia Mönchengladbach,Away,119.1,258.0
2,2021-2022,1,Arminia Bielefeld,SC Freiburg,Home,115.2,215.0
3,2021-2022,1,SC Freiburg,Arminia Bielefeld,Away,111.4,199.0
4,2021-2022,1,FC Augsburg,TSG Hoffenheim,Home,108.7,214.0
5,2021-2022,1,TSG Hoffenheim,FC Augsburg,Away,109.5,220.0
6,2021-2022,1,VfB Stuttgart,SpVgg Greuther Fürth,Home,111.4,198.0
7,2021-2022,1,SpVgg Greuther Fürth,VfB Stuttgart,Away,113.5,151.0
8,2021-2022,1,1. FC Union Berlin,Bayer 04 Leverkusen,Home,115.2,169.0
9,2021-2022,1,Bayer 04 Leverkusen,1. FC Union Berlin,Away,110.6,221.0
10,2021-2022,1,VfL Wolfsburg,VfL Bochum 1848,Home,109.3,188.0
11,2021-2022,1,VfL Bochum 1848,VfL Wolfsburg,Away,103.2,173.0
12,2021-2022,1,Borussia Dortmund,Eintracht Frankfurt,Home,119.4,242.0
13,2021-2022,1,Eintracht Frankfurt,Borussia Dortmund,Away,118.7,259.0
14,2021-2022,1,1. FSV Mainz 05,RB Leipzig,Home,114.8,148.0
15,2021-2022,1,RB Leipzig,1. FSV Mainz 05,Away,110.2,159.0
16,2021-2022,1,1. FC Köln,Hertha Berlin,Home,116.4,221.0
17,2021-2022,1,Hertha Berlin,1. FC Köln,Away,112.4,199.0
18,2021-2022,2,RB Leipzig,VfB Stuttgart,Home,109.9,232.0
19,2021-2022,2,VfB Stuttgart,RB Leipzig,Away,103.8,208.0
20,2021-2022,2,SpVgg Greuther Fürth,Arminia Bielefeld,Home,112.8,155.0
21,2021-2022,2,Arminia Bielefeld,SpVgg Greuther Fürth,Away,112.0,151.0
22,2021-2022,2,VfL Bochum 1848,1. FSV Mainz 05,Home,109.3,142.0
23,2021-2022,2,1. FSV Mainz 05,VfL Bochum 1848,Away,111.7,194.0
24,2021-2022,2,Hertha Berlin,VfL Wolfsburg,Home,110.4,199.0
25,2021-2022,2,VfL Wolfsburg,Hertha Berlin,Away,109.3,200.0
26,2021-2022,2,SC Freiburg,Borussia Dortmund,Home,114.8,191.0
27,2021-2022,2,Borussia Dortmund,SC Freiburg,Away,112.0,173.0
28,2021-2022,2,Eintracht Frankfurt,FC Augsburg,Home,114.6,211.0
29,2021-2022,2,FC Augsburg,Eintracht Frankfurt,Away,113.9,220.0
30,2021-2022,2,Bayer 04 Leverkusen,Borussia Mönchengladbach,Home,113.1,237.0
31,2021-2022,2,Borussia Mönchengladbach,Bayer 04 Leverkusen,Away,112.1,221.0
32,2021-2022,2,TSG Hoffenheim,1. FC Union Berlin,Home,110.9,225.0
33,2021-2022,2,1. FC Union Berlin,TSG Hoffenheim,Away,113.7,201.0
34,2021-2022,2,FC Bayern München,1. FC Köln,Home,118.8,267.0
35,2021-2022,2,1. FC Köln,FC Bayern München,Away,123.3,250.0
36,2021-2022,3,Borussia Dortmund,TSG Hoffenheim,Home,115.0,222.0
37,2021-2022,3,TSG Hoffenheim,Borussia Dortmund,Away,117.2,262.0
38,2021-2022,3,1. FC Köln,VfL Bochum 1848,Home,113.8,223.0
39,2021-2022,3,VfL Bochum 1848,1. FC Köln,Away,107.6,186.0
40,2021-2022,3,Arminia Bielefeld,Eintracht Frankfurt,Home,123.1,221.0
41,2021-2022,3,Eintracht Frankfurt,Arminia Bielefeld,Away,122.7,245.0
42,2021-2022,3,FC Augsburg,Bayer 04 Leverkusen,Home,114.1,217.0
43,2021-2022,3,Bayer 04 Leverkusen,FC Augsburg,Away,112.6,207.0
44,2021-2022,3,1. FSV Mainz 05,SpVgg Greuther Fürth,Home,111.9,224.0
45,2021-2022,3,SpVgg Greuther Fürth,1. FSV Mainz 05,Away,111.9,183.0
46,2021-2022,3,VfB Stuttgart,SC Freiburg,Home,116.4,219.0
47,2021-2022,3,SC Freiburg,VfB Stuttgart,Away,120.2,211.0
48,2021-2022,3,FC Bayern München,Hertha Berlin,Home,117.4,255.0
49,2021-2022,3,Hertha Berlin,FC Bayern München,Away,115.1,233.0
50,2021-2022,3,1. FC Union Berlin,Borussia M'gladbach,Home,122.6,197.0
51,2021-2022,3,Borussia M'gladbach,1. FC Union Berlin,Away,117.0,181.0
52,2021-2022,3,VfL Wolfsburg,RB Leipzig,Home,112.8,253.0
53,2021-2022,3,RB Leipzig,VfL Wolfsburg,Away,111.6,235.0
54,2021-2022,4,SpVgg Greuther Fürth,VfL Wolfsburg,Home,115.3,198.0
55,2021-2022,4,VfL Wolfsburg,SpVgg Greuther Fürth,Away,108.2,184.0
56,2021-2022,4,TSG Hoffenheim,1. FSV Mainz 05,Home,115.0,212.0
57,2021-2022,4,1. FSV Mainz 05,TSG Hoffenheim,Away,116.7,208.0
58,2021-2022,4,SC Freiburg,1. FC Köln,Home,117.8,208.0
59,2021-2022,4,1. FC Köln,SC Freiburg,Away,115.4,188.0
60,2021-2022,4,1. FC Union Berlin,FC Augsburg,Home,114.7,181.0
61,2021-2022,4,FC Augsburg,1. FC Union Berlin,Away,114.6,214.0
