,Season,Week_No,Team,Opponent,Venue,Result,Player Name,Minute,Event,X_cord,Y_cord,xGoal,Situation,Type,Assist Player,Assist Type
0,2019-2020,1,Bayern Munich,Hertha Berlin,Home,Draw,Thiago Alcántara,2,SavedShot,0.7830000305175782,0.5429999923706055,0.0327525027096271,OpenPlay,RightFoot,Serge Gnabry,Pass
1,2019-2020,1,Bayern Munich,Hertha Berlin,Home,Draw,Thomas Müller,6,MissedShots,0.815,0.4309999847412109,0.0584453642368316,OpenPlay,RightFoot,Serge Gnabry,Pass
2,2019-2020,1,Bayern Munich,Hertha Berlin,Home,Draw,Thomas Müller,16,SavedShot,0.936999969482422,0.3940000152587891,0.0192932449281215,SetPiece,Head,David Alaba,Aerial
3,2019-2020,1,Bayern Munich,Hertha Berlin,Home,Draw,Robert Lewandowski,23,Goal,0.9359999847412108,0.505,0.5936605930328369,OpenPlay,LeftFoot,Serge Gnabry,Pass
4,2019-2020,1,Bayern Munich,Hertha Berlin,Home,Draw,Serge Gnabry,24,SavedShot,0.909000015258789,0.2870000076293945,0.0518977269530296,OpenPlay,RightFoot,Corentin Tolisso,Pass
5,2019-2020,1,Bayern Munich,Hertha Berlin,Home,Draw,Robert Lewandowski,24,BlockedShot,0.8619999694824219,0.4179999923706055,0.1009436100721359,OpenPlay,RightFoot,Joshua Kimmich,Pass
6,2019-2020,1,Bayern Munich,Hertha Berlin,Home,Draw,Thomas Müller,27,BlockedShot,0.8690000152587891,0.3320000076293945,0.0742076933383941,OpenPlay,RightFoot,Kingsley Coman,Pass
7,2019-2020,1,Bayern Munich,Hertha Berlin,Home,Draw,Robert Lewandowski,30,BlockedShot,0.8490000152587891,0.3240000152587891,0.0765295848250389,OpenPlay,RightFoot,Thomas Müller,Pass
8,2019-2020,1,Bayern Munich,Hertha Berlin,Home,Draw,Kingsley Coman,51,SavedShot,0.92,0.6170000076293946,0.296954482793808,OpenPlay,RightFoot,Serge Gnabry,Pass
9,2019-2020,1,Bayern Munich,Hertha Berlin,Home,Draw,Serge Gnabry,55,SavedShot,0.749000015258789,0.3189999961853027,0.0172013118863105,OpenPlay,RightFoot,Kingsley Coman,Pass
10,2019-2020,1,Bayern Munich,Hertha Berlin,Home,Draw,Robert Lewandowski,59,Goal,0.885,0.5,0.75777667760849,Penalty,RightFoot,,Standard
