,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
0,2020-2021,1,Bayern Munich,Manuel Neuer,GER,34,90.0,Home,Schalke 04,Win,1,0,1,100.0,0.0,1,2,50.0,37,6,5.4,24.2,1,0.0,25.0,3,0,0.0,0,15.8
1,2020-2021,1,Schalke 04,Ralf Fährmann,GER,31,90.0,Away,Bayern Munich,Defeat,10,8,3,30.0,5.3,5,24,20.8,32,5,56.3,42.2,10,60.0,44.8,12,0,0.0,1,15.0
2,2020-2021,1,Köln,Timo Horn,GER,27,90.0,Home,Hoffenheim,Defeat,6,3,4,66.7,2.6,12,20,60.0,51,3,37.3,33.9,6,16.7,30.7,5,0,0.0,1,17.7
3,2020-2021,1,Hoffenheim,Oliver Baumann,GER,30,90.0,Away,Köln,Win,6,2,3,66.7,1.6,7,23,30.4,43,6,30.2,31.8,12,83.3,60.5,9,0,0.0,1,18.4
4,2020-2021,1,Eintracht Frankfurt,Kevin Trapp,GER,30,90.0,Home,Arminia,Draw,4,1,3,75.0,1.3,6,13,46.2,32,5,31.3,30.1,7,42.9,34.6,7,1,14.3,0,9.5
5,2020-2021,1,Arminia,Stefan Ortega,GER,27,90.0,Away,Eintracht Frankfurt,Draw,6,1,5,83.3,1.2,13,36,36.1,46,4,63.0,47.6,9,77.8,62.9,15,1,6.7,0,10.9
6,2020-2021,1,Werder Bremen,Jiří Pavlenka,CZE,28,90.0,Home,Hertha BSC,Defeat,6,4,2,33.3,2.1,6,10,60.0,16,7,31.3,33.4,8,62.5,47.8,6,0,0.0,0,11.2
7,2020-2021,1,Hertha BSC,Alexander Schwolow,GER,28,90.0,Away,Werder Bremen,Win,6,1,5,83.3,1.0,11,20,55.0,39,6,28.2,33.2,10,90.0,67.3,10,2,20.0,1,10.9
8,2020-2021,1,Union Berlin,Andreas Luthe,GER,33,90.0,Home,Augsburg,Defeat,5,3,2,40.0,0.9,6,13,46.2,37,4,27.0,30.9,5,60.0,47.0,6,0,0.0,0,12.3
9,2020-2021,1,Augsburg,Rafał Gikiewicz,POL,32,90.0,Away,Union Berlin,Win,3,1,2,66.7,1.1,6,20,30.0,38,7,39.5,37.1,6,83.3,64.2,19,1,5.3,1,14.8
