,Season,Week_No,Team,Opponent,Venue,Result,Player Name,Minute,Event,X_cord,Y_cord,xGoal,Situation,Type,Assist Player,Assist Type
0,2017-2018,1,Bayern Munich,Bayer Leverkusen,Home,Win,Corentin Tolisso,4,SavedShot,0.8219999694824218,0.3529999923706055,0.0450213104486465,OpenPlay,RightFoot,Robert Lewandowski,BallTouch
1,2017-2018,1,Bayern Munich,Bayer Leverkusen,Home,Win,Niklas Süle,8,Goal,0.9290000152587892,0.4059999847412109,0.0803815200924873,SetPiece,Head,Sebastian Rudy,Cross
2,2017-2018,1,Bayern Munich,Bayer Leverkusen,Home,Win,Arturo Vidal,15,MissedShots,0.7090000152587891,0.6419999694824219,0.0134858079254627,OpenPlay,RightFoot,,None
3,2017-2018,1,Bayern Munich,Bayer Leverkusen,Home,Win,Corentin Tolisso,17,Goal,0.97,0.4559999847412109,0.4763222634792328,FromCorner,Head,Arturo Vidal,Chipped
4,2017-2018,1,Bayern Munich,Bayer Leverkusen,Home,Win,Corentin Tolisso,22,SavedShot,0.9409999847412108,0.315,0.0916718691587448,OpenPlay,RightFoot,Thomas Müller,Pass
5,2017-2018,1,Bayern Munich,Bayer Leverkusen,Home,Win,Thomas Müller,26,SavedShot,0.935,0.5790000152587891,0.4732430577278137,OpenPlay,LeftFoot,Franck Ribéry,Pass
6,2017-2018,1,Bayern Munich,Bayer Leverkusen,Home,Win,Corentin Tolisso,42,MissedShots,0.7019999694824218,0.4659999847412109,0.0220951158553361,OpenPlay,RightFoot,Franck Ribéry,Pass
7,2017-2018,1,Bayern Munich,Bayer Leverkusen,Home,Win,Robert Lewandowski,51,Goal,0.885,0.5,0.75777667760849,Penalty,RightFoot,,Standard
8,2017-2018,1,Bayern Munich,Bayer Leverkusen,Home,Win,Mats Hummels,61,SavedShot,0.906999969482422,0.4659999847412109,0.066778190433979,SetPiece,Head,Sebastian Rudy,Chipped
9,2017-2018,1,Bayern Munich,Bayer Leverkusen,Home,Win,Robert Lewandowski,77,MissedShots,0.904000015258789,0.6630000305175782,0.0402907691895961,OpenPlay,LeftFoot,,Aerial
10,2017-2018,1,Bayern Munich,Bayer Leverkusen,Home,Win,Kingsley Coman,84,BlockedShot,0.805,0.674000015258789,0.0497110411524772,OpenPlay,RightFoot,Rafinha,Pass
11,2017-2018,1,Bayern Munich,Bayer Leverkusen,Home,Win,Robert Lewandowski,85,MissedShots,0.86,0.375,0.271974116563797,OpenPlay,RightFoot,Arjen Robben,Pass
12,2017-2018,1,Bayern Munich,Bayer Leverkusen,Home,Win,Arjen Robben,90,SavedShot,0.91,0.4020000076293945,0.3903072476387024,OpenPlay,RightFoot,Robert Lewandowski,Pass
13,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Admir Mehmedi,11,SavedShot,0.9080000305175782,0.3459999847412109,0.0978143140673637,OpenPlay,RightFoot,Karim Bellarabi,Throughball
14,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Karim Bellarabi,11,MissedShots,0.8619999694824219,0.4779999923706055,0.0716989710927009,OpenPlay,RightFoot,,Rebound
15,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Kevin Volland,20,SavedShot,0.9390000152587892,0.3120000076293945,0.0656374990940094,OpenPlay,RightFoot,Admir Mehmedi,Pass
16,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Karim Bellarabi,23,MissedShots,0.7880000305175782,0.424000015258789,0.0298687666654586,OpenPlay,RightFoot,Dominik Kohr,Pass
17,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Wendell,36,BlockedShot,0.78,0.355,0.0747579261660575,DirectFreekick,LeftFoot,,Standard
18,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Karim Bellarabi,36,MissedShots,0.795,0.4429999923706054,0.0445365607738494,OpenPlay,RightFoot,Leon Bailey,Pass
19,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Dominik Kohr,41,MissedShots,0.765,0.3240000152587891,0.0183224007487297,OpenPlay,RightFoot,Karim Bellarabi,Pass
20,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Leon Bailey,43,BlockedShot,0.8190000152587891,0.2870000076293945,0.0251864939928054,OpenPlay,LeftFoot,Kevin Volland,Pass
21,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Karim Bellarabi,45,MissedShots,0.9790000152587892,0.3940000152587891,0.0348790287971496,FromCorner,Head,,None
22,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Karim Bellarabi,47,MissedShots,0.899000015258789,0.365,0.0152637138962745,OpenPlay,Head,Admir Mehmedi,Cross
23,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Julian Brandt,55,MissedShots,0.8109999847412109,0.355,0.0873946696519851,OpenPlay,RightFoot,Dominik Kohr,Throughball
24,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Julian Brandt,56,SavedShot,0.921999969482422,0.4270000076293945,0.3612928092479706,OpenPlay,RightFoot,Karim Bellarabi,Pass
25,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Dominik Kohr,56,BlockedShot,0.911999969482422,0.48,0.3647935688495636,OpenPlay,RightFoot,,Rebound
26,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Admir Mehmedi,64,Goal,0.875,0.2679999923706054,0.0361608229577541,OpenPlay,RightFoot,Julian Brandt,Pass
27,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Dominik Kohr,71,MissedShots,0.9130000305175782,0.524000015258789,0.2995816469192505,SetPiece,Head,Admir Mehmedi,Cross
28,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Wendell,80,MissedShots,0.7619999694824219,0.6140000152587891,0.0210829768329858,OpenPlay,LeftFoot,Julian Brandt,Pass
29,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Kevin Kampl,87,BlockedShot,0.7919999694824219,0.6569999694824219,0.0335575602948665,FromCorner,RightFoot,Julian Brandt,Pass
30,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Julian Brandt,87,MissedShots,0.91,0.62,0.3418475389480591,FromCorner,RightFoot,,Rebound
31,2017-2018,1,Bayer Leverkusen,Bayern Munich,Away,Defeat,Karim Bellarabi,90,BlockedShot,0.7530000305175781,0.7230000305175781,0.0132074346765875,OpenPlay,RightFoot,Kevin Kampl,Pass
32,2017-2018,1,Hoffenheim,Werder Bremen,Home,Win,Ádám Szalai,3,MissedShots,0.931999969482422,0.62,0.0301015973091125,FromCorner,Head,Kerem Demirbay,Cross
33,2017-2018,1,Hoffenheim,Werder Bremen,Home,Win,Kerem Demirbay,4,MissedShots,0.9290000152587892,0.5629999923706055,0.4998221099376678,OpenPlay,LeftFoot,Mark Uth,Throughball
34,2017-2018,1,Hoffenheim,Werder Bremen,Home,Win,Dennis Geiger,7,BlockedShot,0.6969999694824218,0.3979999923706054,0.0121095590293407,OpenPlay,RightFoot,Steven Zuber,Pass
35,2017-2018,1,Hoffenheim,Werder Bremen,Home,Win,Håvard Nordtveit,14,MissedShots,0.919000015258789,0.4059999847412109,0.0872747153043747,FromCorner,LeftFoot,,None
36,2017-2018,1,Hoffenheim,Werder Bremen,Home,Win,Nadiem Amiri,23,MissedShots,0.7290000152587891,0.6430000305175781,0.0452788695693016,DirectFreekick,RightFoot,,Standard
37,2017-2018,1,Hoffenheim,Werder Bremen,Home,Win,Nadiem Amiri,44,BlockedShot,0.7030000305175781,0.4959999847412109,0.0182839296758174,OpenPlay,RightFoot,Dennis Geiger,Pass
38,2017-2018,1,Hoffenheim,Werder Bremen,Home,Win,Steven Zuber,53,MissedShots,0.805,0.664000015258789,0.0287068802863359,OpenPlay,RightFoot,Mark Uth,Pass
39,2017-2018,1,Hoffenheim,Werder Bremen,Home,Win,Kerem Demirbay,56,MissedShots,0.715999984741211,0.6609999847412109,0.0137080689892172,OpenPlay,LeftFoot,Steven Zuber,Pass
40,2017-2018,1,Hoffenheim,Werder Bremen,Home,Win,Kerem Demirbay,59,BlockedShot,0.759000015258789,0.4970000076293945,0.0231785327196121,OpenPlay,LeftFoot,Mark Uth,Pass
41,2017-2018,1,Hoffenheim,Werder Bremen,Home,Win,Steven Zuber,72,BlockedShot,0.755,0.6680000305175782,0.022520450875163,OpenPlay,RightFoot,,TakeOn
42,2017-2018,1,Hoffenheim,Werder Bremen,Home,Win,Serge Gnabry,81,BlockedShot,0.725,0.6459999847412109,0.0168613456189632,OpenPlay,LeftFoot,Eugen Polanski,Pass
43,2017-2018,1,Hoffenheim,Werder Bremen,Home,Win,Serge Gnabry,83,SavedShot,0.905,0.3770000076293945,0.0962453782558441,OpenPlay,RightFoot,Andrej Kramaric,Pass
44,2017-2018,1,Hoffenheim,Werder Bremen,Home,Win,Andrej Kramaric,83,Goal,0.7340000152587891,0.5879999923706055,0.0171826537698507,OpenPlay,RightFoot,Ádám Szalai,Dispossessed
