,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
0,2017-2018,1,Bayern Munich,Sven Ulreich,GER,29,90.0,Home,Bayer Leverkusen,Win,4,1,3,75.0,0.9,2,6,33.3,22,4,13.6,26.5,4,75.0,56.0,9,0,0.0,1,11.5
1,2017-2018,1,Bayer Leverkusen,Bernd Leno,GER,25,90.0,Away,Bayern Munich,Defeat,7,3,5,71.4,2.5,1,10,10.0,22,3,36.4,32.7,5,40.0,35.2,11,0,0.0,0,14.0
2,2017-2018,1,Hoffenheim,Oliver Baumann,GER,27,90.0,Home,Werder Bremen,Win,2,0,2,100.0,0.1,6,15,40.0,29,1,41.4,34.9,3,100.0,62.3,5,0,0.0,1,21.0
3,2017-2018,1,Werder Bremen,Jiří Pavlenka,CZE,25,90.0,Away,Hoffenheim,Defeat,2,1,1,50.0,0.5,2,6,33.3,15,5,26.7,32.8,8,25.0,37.3,6,1,16.7,1,23.0
4,2017-2018,1,Mainz 05,René Adler,GER,32,90.0,Home,Hannover 96,Defeat,2,1,1,50.0,0.7,4,8,50.0,30,2,13.3,26.2,5,80.0,57.2,3,0,0.0,1,20.7
5,2017-2018,1,Hannover 96,Philipp Tschauner,GER,31,90.0,Away,Mainz 05,Win,4,0,4,100.0,0.9,10,22,45.5,27,4,59.3,44.6,12,50.0,42.3,10,0,0.0,0,12.5
6,2017-2018,1,Wolfsburg,Koen Casteels,BEL,25,90.0,Home,Dortmund,Defeat,5,3,2,40.0,1.1,7,27,25.9,22,2,90.9,58.1,7,100.0,69.6,4,0,0.0,2,23.0
7,2017-2018,1,Dortmund,Roman Bürki,SUI,26,90.0,Away,Wolfsburg,Win,0,0,0,,0.0,2,11,18.2,40,2,27.5,32.9,2,0.0,19.5,3,0,0.0,2,33.0
8,2017-2018,1,Hamburger SV,Christian Mathenia,GER,25,90.0,Home,Augsburg,Win,1,0,1,100.0,0.1,12,27,44.4,27,3,77.8,58.3,9,66.7,55.2,19,1,5.3,0,13.8
9,2017-2018,1,Augsburg,Marwin Hitz,SUI,29,90.0,Away,Hamburger SV,Defeat,5,1,4,80.0,0.8,6,18,33.3,39,10,41.0,36.4,3,66.7,48.0,5,2,40.0,3,17.6
10,2017-2018,1,Hertha BSC,Rune Jarstein,NOR,32,90.0,Home,Stuttgart,Win,2,0,2,100.0,0.1,5,11,45.5,16,5,31.3,31.9,7,85.7,63.6,7,1,14.3,1,16.8
11,2017-2018,1,Stuttgart,Ron-Robert Zieler,GER,28,90.0,Away,Hertha BSC,Defeat,4,2,2,50.0,1.3,6,18,33.3,22,2,63.6,42.7,4,100.0,71.3,7,0,0.0,1,14.8
12,2017-2018,1,Schalke 04,Ralf Fährmann,GER,28,90.0,Home,RB Leipzig,Win,3,0,3,100.0,0.6,4,13,30.8,13,3,61.5,41.0,6,83.3,48.8,10,1,10.0,0,13.0
13,2017-2018,1,RB Leipzig,Péter Gulácsi,HUN,27,90.0,Away,Schalke 04,Defeat,4,2,3,75.0,2.0,4,9,44.4,25,4,28.0,31.9,3,66.7,51.0,9,0,0.0,0,15.6
14,2017-2018,1,Freiburg,Alexander Schwolow,GER,25,90.0,Home,Eintracht Frankfurt,Draw,2,0,2,100.0,0.4,9,19,47.4,26,5,46.2,37.0,7,100.0,73.6,16,1,6.3,1,34.0
15,2017-2018,1,Eintracht Frankfurt,Lukáš Hrádecký,FIN,27,90.0,Away,Freiburg,Draw,1,1,1,0.0,0.0,9,21,42.9,33,2,48.5,42.0,6,83.3,68.8,5,0,0.0,1,14.5
16,2017-2018,1,Mönchengladbach,Yann Sommer,SUI,28,90.0,Home,Köln,Win,1,0,1,100.0,0.0,4,17,23.5,28,4,35.7,35.0,9,77.8,54.3,9,0,0.0,0,10.0
17,2017-2018,1,Köln,Timo Horn,GER,24,90.0,Away,Mönchengladbach,Defeat,9,1,8,88.9,1.7,8,20,40.0,28,5,50.0,41.7,8,75.0,58.5,14,1,7.1,1,15.4
18,2017-2018,2,Köln,Timo Horn,GER,24,90.0,Home,Hamburger SV,Defeat,4,3,1,25.0,3.1,1,4,25.0,24,2,4.2,23.0,3,100.0,60.7,3,0,0.0,1,16.5
19,2017-2018,2,Hamburger SV,Christian Mathenia,GER,25,90.0,Away,Köln,Win,8,1,7,87.5,2.9,8,34,23.5,22,1,86.4,59.8,15,100.0,74.6,17,2,11.8,0,14.7
20,2017-2018,2,Stuttgart,Ron-Robert Zieler,GER,28,90.0,Home,Mainz 05,Win,6,0,6,100.0,0.6,11,28,39.3,35,7,54.3,42.3,9,100.0,72.6,7,0,0.0,1,15.6
21,2017-2018,2,Mainz 05,René Adler,GER,32,90.0,Away,Stuttgart,Defeat,4,1,3,75.0,1.0,2,4,50.0,22,6,18.2,27.1,5,0.0,27.8,11,3,27.3,1,16.8
22,2017-2018,2,Eintracht Frankfurt,Lukáš Hrádecký,FIN,27,90.0,Home,Wolfsburg,Defeat,3,1,2,66.7,0.9,6,14,42.9,26,5,34.6,36.8,5,100.0,77.8,5,0,0.0,3,16.8
23,2017-2018,2,Wolfsburg,Koen Casteels,BEL,25,90.0,Away,Eintracht Frankfurt,Win,6,0,6,100.0,1.3,11,30,36.7,30,4,73.3,49.2,8,100.0,69.3,18,1,5.6,2,19.7
24,2017-2018,2,Werder Bremen,Jiří Pavlenka,CZE,25,90.0,Home,Bayern Munich,Defeat,7,2,5,71.4,1.7,7,25,28.0,18,3,83.3,60.4,10,100.0,69.9,11,2,18.2,0,12.5
25,2017-2018,2,Bayern Munich,Manuel Neuer,GER,31,90.0,Away,Werder Bremen,Win,0,0,0,,0.0,4,11,36.4,19,1,52.6,37.4,3,33.3,39.7,4,0,0.0,0,8.7
26,2017-2018,2,Bayer Leverkusen,Bernd Leno,GER,25,90.0,Home,Hoffenheim,Draw,4,2,2,50.0,1.3,2,9,22.2,30,3,30.0,31.7,0,,,8,1,12.5,4,22.3
27,2017-2018,2,Hoffenheim,Oliver Baumann,GER,27,90.0,Away,Bayer Leverkusen,Draw,2,2,1,50.0,1.4,7,25,28.0,27,4,59.3,42.0,9,100.0,68.3,15,2,13.3,1,15.3
28,2017-2018,2,Augsburg,Marwin Hitz,SUI,29,90.0,Home,Mönchengladbach,Draw,3,2,1,33.3,0.8,12,17,70.6,23,3,47.8,38.4,10,60.0,52.5,4,0,0.0,2,21.0
29,2017-2018,2,Mönchengladbach,Yann Sommer,SUI,28,90.0,Away,Augsburg,Draw,9,2,7,77.8,3.0,4,16,25.0,21,3,57.1,46.0,7,57.1,49.7,15,1,6.7,0,9.0
30,2017-2018,2,Dortmund,Roman Bürki,SUI,26,90.0,Home,Hertha BSC,Win,4,0,4,100.0,1.2,8,16,50.0,34,4,38.2,34.8,3,100.0,73.0,7,1,14.3,3,25.7
