,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
548,2019-2020,31,Werder Bremen,Jiří Pavlenka,CZE,28,90.0,Away,Paderborn 07,Win,9,1,8,88.9,1.4,5,14,35.7,25,6,48.0,45.7,5,40.0,45.6,7,0,0.0,2,17.1
549,2019-2020,31,Hertha BSC,Rune Jarstein,NOR,35,90.0,Home,Eintracht Frankfurt,Defeat,7,4,3,42.9,3.1,4,16,25.0,27,5,51.9,43.0,8,25.0,36.8,10,0,0.0,0,12.0
550,2019-2020,31,Eintracht Frankfurt,Kevin Trapp,GER,29,90.0,Away,Hertha BSC,Win,4,1,3,75.0,0.8,2,9,22.2,34,3,26.5,31.2,2,0.0,18.0,3,0,0.0,2,21.5
551,2019-2020,31,Düsseldorf,Florian Kastenmeier,GER,22,90.0,Home,Dortmund,Defeat,3,1,2,66.7,0.6,14,24,58.3,33,2,69.7,49.6,2,50.0,38.0,2,0,0.0,0,11.7
552,2019-2020,31,Dortmund,Roman Bürki,SUI,29,90.0,Away,Düsseldorf,Win,3,0,3,100.0,0.2,4,8,50.0,28,7,25.0,31.0,4,25.0,25.0,7,1,14.3,0,14.3
553,2019-2020,31,Köln,Timo Horn,GER,27,90.0,Home,Union Berlin,Defeat,5,2,3,60.0,1.5,3,14,21.4,27,2,48.1,42.4,4,25.0,25.0,3,0,0.0,0,12.3
554,2019-2020,31,Union Berlin,Rafał Gikiewicz,POL,32,90.0,Away,Köln,Win,6,1,5,83.3,1.6,12,31,38.7,38,5,68.4,51.3,5,100.0,71.0,8,1,12.5,0,13.9
555,2019-2020,31,Wolfsburg,Koen Casteels,BEL,27,90.0,Home,Freiburg,Draw,5,2,3,60.0,1.5,8,16,50.0,27,5,44.4,40.0,6,66.7,54.3,10,0,0.0,1,18.6
556,2019-2020,31,Freiburg,Alexander Schwolow,GER,28,90.0,Away,Wolfsburg,Draw,5,2,4,80.0,2.2,6,21,28.6,32,3,34.4,36.6,10,100.0,76.6,12,0,0.0,1,11.8
557,2019-2020,31,Bayern Munich,Manuel Neuer,GER,34,90.0,Home,Mönchengladbach,Win,2,1,2,50.0,0.5,5,15,33.3,38,3,34.2,32.2,8,25.0,29.0,4,0,0.0,1,13.3
