,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
204,2017-2018,12,Hoffenheim,Oliver Baumann,GER,27,90.0,Home,Eintracht Frankfurt,Draw,3,1,2,66.7,0.4,2,9,22.2,38,9,23.7,26.3,3,0.0,29.7,3,0,0.0,3,17.2
205,2017-2018,12,Eintracht Frankfurt,Lukáš Hrádecký,FIN,27,90.0,Away,Hoffenheim,Draw,6,1,5,83.3,1.3,10,24,41.7,30,7,56.7,48.4,10,70.0,59.6,11,0,0.0,0,12.3
206,2017-2018,12,Bayern Munich,Sven Ulreich,GER,29,90.0,Home,Augsburg,Win,2,0,2,100.0,0.2,3,11,27.3,28,2,32.1,32.6,6,33.3,35.7,7,0,0.0,2,17.5
207,2017-2018,12,Augsburg,Marwin Hitz,SUI,30,90.0,Away,Bayern Munich,Defeat,5,3,2,40.0,2.1,12,22,54.5,25,3,64.0,43.6,11,54.5,47.5,11,0,0.0,0,9.4
208,2017-2018,12,Wolfsburg,Koen Casteels,BEL,25,90.0,Home,Freiburg,Win,6,1,5,83.3,1.1,13,27,48.1,46,4,45.7,42.9,6,100.0,71.7,8,2,25.0,0,10.3
209,2017-2018,12,Freiburg,Alexander Schwolow,GER,25,90.0,Away,Wolfsburg,Defeat,7,3,4,57.1,3.3,4,21,19.0,54,4,31.5,32.9,5,80.0,64.4,6,0,0.0,4,22.7
210,2017-2018,12,Hertha BSC,Rune Jarstein,NOR,33,90.0,Home,Mönchengladbach,Defeat,4,4,1,25.0,1.9,3,8,37.5,22,3,31.8,31.9,2,50.0,42.0,3,0,0.0,0,10.8
211,2017-2018,12,Mönchengladbach,Yann Sommer,SUI,28,90.0,Away,Hertha BSC,Win,8,2,6,75.0,2.0,6,18,33.3,28,3,42.9,37.0,8,75.0,52.1,12,2,16.7,1,27.5
212,2017-2018,12,Schalke 04,Ralf Fährmann,GER,29,90.0,Home,Hamburger SV,Win,1,0,1,100.0,0.1,5,17,29.4,24,3,54.2,41.5,7,57.1,49.9,5,0,0.0,0,12.0
213,2017-2018,12,Hamburger SV,Christian Mathenia,GER,25,90.0,Away,Schalke 04,Defeat,3,2,2,66.7,1.7,2,10,20.0,37,7,21.6,30.1,4,50.0,42.0,7,0,0.0,1,11.9
214,2017-2018,12,Werder Bremen,Jiří Pavlenka,CZE,25,90.0,Home,Hannover 96,Win,7,0,7,100.0,1.4,9,20,45.0,28,7,64.3,45.0,5,40.0,43.2,2,0,0.0,1,18.2
215,2017-2018,12,Hannover 96,Michael Esser,GER,29,90.0,Away,Werder Bremen,Defeat,7,4,3,42.9,2.5,4,12,33.3,24,6,33.3,32.4,9,44.4,40.6,9,3,33.3,1,13.2
216,2017-2018,13,Hannover 96,Philipp Tschauner,GER,32,90.0,Home,Stuttgart,Draw,4,1,3,75.0,1.5,6,20,30.0,29,4,55.2,38.9,8,50.0,40.8,11,1,9.1,1,28.0
217,2017-2018,13,Stuttgart,Ron-Robert Zieler,GER,28,90.0,Away,Hannover 96,Draw,3,1,3,100.0,1.2,8,31,25.8,30,2,76.7,49.4,10,80.0,62.5,8,0,0.0,0,15.0
218,2017-2018,13,Freiburg,Alexander Schwolow,GER,25,90.0,Home,Mainz 05,Win,5,1,4,80.0,0.9,11,23,47.8,23,4,56.5,44.1,11,90.9,65.5,6,1,16.7,4,43.6
219,2017-2018,13,Mainz 05,Robin Zentner,GER,23,90.0,Away,Freiburg,Defeat,5,2,3,60.0,1.4,8,25,32.0,37,7,45.9,39.8,11,72.7,55.3,3,0,0.0,0,13.4
220,2017-2018,13,Augsburg,Marwin Hitz,SUI,30,90.0,Home,Wolfsburg,Win,3,1,2,66.7,0.3,1,4,25.0,14,2,14.3,33.6,2,100.0,59.0,4,0,0.0,1,14.0
221,2017-2018,13,Wolfsburg,Koen Casteels,BEL,25,90.0,Away,Augsburg,Defeat,8,2,6,75.0,2.2,14,31,45.2,29,6,62.1,47.3,16,81.3,62.5,19,3,15.8,4,19.7
222,2017-2018,13,Eintracht Frankfurt,Lukáš Hrádecký,FIN,28,90.0,Home,Bayer Leverkusen,Defeat,4,1,3,75.0,0.6,2,13,15.4,24,7,29.2,32.5,8,75.0,67.3,8,0,0.0,1,15.3
223,2017-2018,13,Bayer Leverkusen,Bernd Leno,GER,25,90.0,Away,Eintracht Frankfurt,Win,3,0,3,100.0,0.6,10,21,47.6,38,8,42.1,37.3,9,55.6,50.2,3,0,0.0,0,14.4
224,2017-2018,13,RB Leipzig,Péter Gulácsi,HUN,27,90.0,Home,Werder Bremen,Win,3,0,3,100.0,1.1,4,16,25.0,25,3,60.0,48.5,5,20.0,34.2,10,0,0.0,0,10.5
225,2017-2018,13,Werder Bremen,Jiří Pavlenka,CZE,25,90.0,Away,RB Leipzig,Defeat,6,2,4,66.7,0.5,8,18,44.4,29,5,48.3,38.7,8,50.0,47.3,5,1,20.0,1,17.5
226,2017-2018,13,Dortmund,Roman Weidenfeller,GER,37,90.0,Home,Schalke 04,Draw,7,4,2,42.9,3.4,4,26,15.4,34,1,55.9,40.3,8,87.5,60.8,7,0,0.0,1,17.4
227,2017-2018,13,Schalke 04,Ralf Fährmann,GER,29,90.0,Away,Dortmund,Draw,6,4,3,33.3,2.8,2,6,33.3,15,5,33.3,31.3,2,50.0,42.0,5,0,0.0,1,13.7
228,2017-2018,13,Mönchengladbach,Yann Sommer,SUI,28,90.0,Home,Bayern Munich,Win,7,1,5,85.7,0.8,9,27,33.3,28,5,71.4,46.9,11,63.6,44.6,24,2,8.3,0,9.0
229,2017-2018,13,Bayern Munich,Sven Ulreich,GER,29,90.0,Away,Mönchengladbach,Defeat,1,2,0,0.0,1.6,5,11,45.5,23,3,39.1,33.8,6,33.3,32.0,1,0,0.0,0,16.0
230,2017-2018,13,Hamburger SV,Christian Mathenia,GER,25,90.0,Home,Hoffenheim,Win,2,0,2,100.0,0.1,10,23,43.5,16,2,87.5,53.6,9,100.0,64.6,4,0,0.0,1,17.0
231,2017-2018,13,Hoffenheim,Oliver Baumann,GER,27,90.0,Away,Hamburger SV,Defeat,8,3,6,62.5,1.9,8,25,32.0,32,9,46.9,37.3,14,71.4,50.4,8,0,0.0,0,18.0
232,2017-2018,13,Köln,Timo Horn,GER,24,90.0,Home,Hertha BSC,Defeat,6,2,5,83.3,1.9,8,18,44.4,23,1,65.2,46.0,3,100.0,61.3,9,0,0.0,0,11.3
233,2017-2018,13,Hertha BSC,Rune Jarstein,NOR,33,90.0,Away,Köln,Win,2,0,2,100.0,0.1,11,32,34.4,28,0,82.1,53.6,10,90.0,59.6,7,1,14.3,0,10.5
234,2017-2018,14,Freiburg,Alexander Schwolow,GER,25,90.0,Home,Hamburger SV,Draw,3,0,3,100.0,0.6,7,26,26.9,31,2,71.0,50.4,5,80.0,57.6,5,0,0.0,0,14.5
235,2017-2018,14,Hamburger SV,Christian Mathenia,GER,25,90.0,Away,Freiburg,Draw,1,0,1,100.0,0.0,7,30,23.3,24,2,70.8,54.5,13,100.0,69.2,10,1,10.0,0,12.8
236,2017-2018,14,Bayer Leverkusen,Bernd Leno,GER,25,90.0,Home,Dortmund,Draw,2,1,1,50.0,0.9,7,26,26.9,29,1,75.9,50.6,5,80.0,57.8,5,0,0.0,0,13.4
237,2017-2018,14,Dortmund,Roman Bürki,SUI,27,90.0,Away,Bayer Leverkusen,Draw,9,1,8,88.9,2.2,3,7,42.9,28,7,21.4,29.2,3,33.3,29.3,8,1,12.5,2,34.7
238,2017-2018,14,Hoffenheim,Oliver Baumann,GER,27,90.0,Home,RB Leipzig,Win,5,0,5,100.0,0.4,6,29,20.7,32,2,75.0,49.6,6,83.3,51.7,5,1,20.0,1,19.8
239,2017-2018,14,RB Leipzig,Péter Gulácsi,HUN,27,90.0,Away,Hoffenheim,Defeat,7,4,3,42.9,1.7,2,4,50.0,29,5,10.3,25.2,2,50.0,43.5,1,0,0.0,4,19.2
240,2017-2018,14,Werder Bremen,Jiří Pavlenka,CZE,25,90.0,Home,Stuttgart,Win,3,0,3,100.0,0.1,10,21,47.6,26,1,57.7,46.2,8,75.0,56.5,10,0,0.0,1,20.6
241,2017-2018,14,Stuttgart,Ron-Robert Zieler,GER,28,90.0,Away,Werder Bremen,Defeat,5,1,4,80.0,1.0,6,23,26.1,41,4,48.8,39.8,6,50.0,44.7,9,1,11.1,2,20.0
242,2017-2018,14,Bayern Munich,Sven Ulreich,GER,29,90.0,Home,Hannover 96,Win,3,1,2,66.7,1.7,2,10,20.0,15,3,46.7,40.5,6,50.0,39.8,5,0,0.0,0,11.8
243,2017-2018,14,Hannover 96,Philipp Tschauner,GER,32,90.0,Away,Bayern Munich,Defeat,10,3,7,80.0,4.2,18,27,66.7,21,4,76.2,47.3,16,68.8,46.6,19,0,0.0,0,8.6
244,2017-2018,14,Mainz 05,Robin Zentner,GER,23,90.0,Home,Augsburg,Defeat,3,3,1,33.3,2.6,7,16,43.8,22,7,54.5,41.0,6,66.7,55.7,9,1,11.1,2,15.1
245,2017-2018,14,Augsburg,Marwin Hitz,SUI,30,90.0,Away,Mainz 05,Win,5,1,4,80.0,0.6,8,21,38.1,26,2,61.5,44.7,10,50.0,43.2,9,0,0.0,0,16.3
246,2017-2018,14,Schalke 04,Ralf Fährmann,GER,29,90.0,Home,Köln,Draw,2,2,1,50.0,1.7,2,5,40.0,8,1,25.0,40.3,4,75.0,60.3,4,0,0.0,2,26.0
247,2017-2018,14,Köln,Timo Horn,GER,24,90.0,Away,Schalke 04,Draw,10,2,8,80.0,2.1,17,34,50.0,24,1,91.7,61.2,12,100.0,66.1,11,1,9.1,0,5.0
248,2017-2018,14,Hertha BSC,Rune Jarstein,NOR,33,90.0,Home,Eintracht Frankfurt,Defeat,5,2,3,60.0,0.9,11,23,47.8,32,5,65.6,45.8,2,100.0,57.0,9,0,0.0,1,16.8
249,2017-2018,14,Eintracht Frankfurt,Lukáš Hrádecký,FIN,28,90.0,Away,Hertha BSC,Win,5,1,4,80.0,0.8,10,22,45.5,21,3,61.9,44.2,9,100.0,68.4,9,0,0.0,0,13.8
250,2017-2018,14,Wolfsburg,Koen Casteels,BEL,25,90.0,Home,Mönchengladbach,Win,7,0,7,100.0,1.2,12,27,44.4,35,4,62.9,46.1,7,71.4,56.9,13,0,0.0,1,11.6
251,2017-2018,14,Mönchengladbach,Yann Sommer,SUI,28,90.0,Away,Wolfsburg,Defeat,6,3,3,50.0,1.6,6,6,100.0,27,3,14.8,26.6,8,25.0,31.5,6,1,16.7,0,8.0
252,2017-2018,15,Stuttgart,Ron-Robert Zieler,GER,28,90.0,Home,Bayer Leverkusen,Defeat,4,2,1,50.0,1.7,7,16,43.8,34,3,35.3,32.6,6,66.7,54.2,12,0,0.0,1,20.7
